,image_9584,image_9476,image_2949,image_280,image_6046,image_6579,image_4453,image_5239,image_3663,image_2937,image_4992,image_3705,image_8463,image_6287,image_9649,image_3407,image_143,image_1830,image_3022,image_3863,image_3784,image_8805,image_2779,image_194,image_9548,image_7710,image_7898,image_9630,image_4064,image_8474,image_4492,image_1667,image_9422,image_1202,image_8490,image_4048,image_398,image_8869,image_7351,image_8305,image_3902,image_694,image_9520,image_3027,image_4137,image_6047,image_3170
image_8869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_9520,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
