website,category,article_number,article_url,page_weight_in_bytes
yahoo.co.jp,Sports,9,https://news.yahoo.co.jp/expert/articles/8182a4f630ddf0b8c9db3b49f07645419f3dc47d,1604208
yahoo.co.jp,Sports,10,https://news.yahoo.co.jp/articles/a65b76158474a94344367e8a26ce0e8681151868,2539253
yahoo.co.jp,IT,1,https://news.yahoo.co.jp/articles/d20d62c624b5f67ad8a11e789c432fd83f698d38,2180356
yahoo.co.jp,IT,2,https://news.yahoo.co.jp/articles/44b143b7f380da57b94f84b35d54ebb0d45a4ffc,7414
yahoo.co.jp,IT,3,https://news.yahoo.co.jp/articles/036d248018612056afb4b17afa7191779ea0c36a,7443
yahoo.co.jp,IT,4,https://news.yahoo.co.jp/articles/f4c8ee30aa34461dce910fe35d956163700aa537,2525367
yahoo.co.jp,IT,5,https://news.yahoo.co.jp/articles/43841d84dc9741f0053ba17a3be66a9f57605912,2416251
yahoo.co.jp,IT,6,https://news.yahoo.co.jp/articles/23554438a51acee720d56587bc26ca7c9be0b16b,2471095
yahoo.co.jp,IT,7,https://news.yahoo.co.jp/articles/b0b4aad37de4614fd8586cd001f207a9e234ae6e,2160756
yahoo.co.jp,IT,8,https://news.yahoo.co.jp/articles/326d6abb43fe83823bba2921748048e83622055e,7438
yahoo.co.jp,IT,9,https://news.yahoo.co.jp/articles/f93e0a45b323885ad82108e935b551472e4ff233,2141725
yahoo.co.jp,IT,10,https://news.yahoo.co.jp/expert/articles/f432d64ecb1dcb62b974f077b0cda5f9b855e49b,2111960
yahoo.co.jp,Business,1,https://news.yahoo.co.jp/articles/7d0948cfbfc85218ff590ee3af0100586643855f,2627977
yahoo.co.jp,Business,2,https://news.yahoo.co.jp/articles/6b6629c49f9a1fbd4bab2b64abdf91c62f5ec0f6,2135483
yahoo.co.jp,Business,3,https://news.yahoo.co.jp/articles/c89bd25f5427dff113a366021009c1b4580fb58d,2306503
yahoo.co.jp,Business,4,https://news.yahoo.co.jp/articles/1b309d73b171a6635e371fc1dc2bf310eed72356,2364224
yahoo.co.jp,Business,5,https://news.yahoo.co.jp/articles/43b0c4057145bb027c0d4a3c80ef5898aa777f99,7413
yahoo.co.jp,Business,6,https://news.yahoo.co.jp/articles/815b3a27af8c0b048580645f7d0ed70ea4a41a62,2180238
yahoo.co.jp,Business,7,https://news.yahoo.co.jp/articles/9a919de316ff7fe448a0f7a783e1946254eef958,2361046
yahoo.co.jp,Business,8,https://news.yahoo.co.jp/articles/de82ecc72de4400a4f4f48027ecb878bf285fde7,2457952
yahoo.co.jp,Business,9,https://news.yahoo.co.jp/articles/4e97ba23ccfb8e4b6ee6bc4dba12181ff1238584,3466088
yahoo.co.jp,Business,10,https://news.yahoo.co.jp/articles/fbdb0195850077b35604aedb9f11bc57fc4b7455,2681483
yahoo.co.jp,Domestic,1,https://news.yahoo.co.jp/articles/3b2599c13cb91f8e11512b1be39d315d80090cfb,7441
yahoo.co.jp,Domestic,2,https://news.yahoo.co.jp/articles/ab4177ae4ef72d97bd4f3a46c39bf265b6cb67f4,2195917
yahoo.co.jp,Domestic,3,https://news.yahoo.co.jp/articles/488841b88b95b55555850ed41dfe93c27b9981c5,2423847
yahoo.co.jp,Domestic,4,https://news.yahoo.co.jp/articles/1dc9b9bc968c7b0106581f5e609f7d888bc459ff,2260398
yahoo.co.jp,Domestic,5,https://news.yahoo.co.jp/articles/07059889d0ff8a0daf8801fd656ce64a8ef8ae5b,7415
yahoo.co.jp,Domestic,6,https://news.yahoo.co.jp/articles/55300b2c2d18ba72d583b6b24fe8614dc0c75a85,2175661
yahoo.co.jp,Domestic,7,https://news.yahoo.co.jp/articles/e44afb9cbf4a707e8b086256c5684fb76254f0ef,2210936
yahoo.co.jp,Domestic,8,https://news.yahoo.co.jp/articles/a17d457486832e80267132f00a95799dc4074689,2246093
yahoo.co.jp,Domestic,9,https://news.yahoo.co.jp/articles/addffd1cb5caf5a7248a07ae2ff0931399567875,2056920
yahoo.co.jp,Domestic,10,https://news.yahoo.co.jp/articles/aa566ec706f3cc9c68dcf04600c79b7e0f50457b,2340517
www.ndtv.com,India,1,https://www.ndtv.com/india-news/cleric-rapes-5-year-old-girl-inside-mosque-in-rajasthan-arrested-cops-6625220,7437348
www.ndtv.com,India,2,https://www.ndtv.com/india-news/11-year-old-boy-killed-in-bengaluru-park-after-iron-gate-falls-on-him-6625012,7854483
www.ndtv.com,India,3,https://www.ndtv.com/india-news/if-such-defiling-happened-with-a-church-pawan-kalyan-on-tirupati-laddoo-row-6624760,7371044
www.ndtv.com,India,4,https://www.ndtv.com/india-news/will-move-out-of-official-residence-during-navratri-arvind-kejriwal-6626115,7717433
www.ndtv.com,India,5,https://www.ndtv.com/india-news/nitish-writes-to-pm-seeks-vande-bharat-train-between-ayodhya-and-sitamarhi-6624767,7842690
www.ndtv.com,India,6,https://www.ndtv.com/india-news/tirupati-laddoo-row-animal-fat-condition-for-supplying-ghee-to-ttd-changed-during-ysr-congress-regime-chandrababu-naidu-6625154,7654874
www.ndtv.com,India,7,https://www.ndtv.com/india-news/special-investigation-team-to-probe-alleged-irregularities-in-tirupati-temple-body-amid-laddoo-row-6625298,8309068
www.ndtv.com,India,8,https://www.ndtv.com/world-news/in-pics-modi-biden-bilateral-meet-and-quad-leaders-summit-6625291,4483093
www.ndtv.com,India,9,https://www.ndtv.com/india-news/up-woman-her-2-sons-murder-17-year-old-daughter-who-was-raped-cops-6624872,7927915
www.ndtv.com,India,10,https://www.ndtv.com/india-news/man-booked-for-raping-sister-in-law-aborting-her-pregnancy-6624985,8586007
www.ndtv.com,People,1,https://www.ndtv.com/india-news/sitaram-yechury-cpm-chief-raconteur-and-pragmatic-face-of-left-6588156,7590421
www.ndtv.com,People,2,https://www.ndtv.com/world-news/bangladesh-unrest-who-is-muhammad-yunus-possible-advisor-of-interim-bangladesh-government-6273576,4497858
www.ndtv.com,People,3,https://www.ndtv.com/people/yamini-krishnamoorti-1940-2024-the-doyen-who-lit-the-stage-with-her-majestic-style-no-more-6259232,7768806
www.ndtv.com,People,4,https://www.ndtv.com/india-news/sanjeev-jain-parsvnath-landmark-ceo-who-is-sanjeev-jain-realty-firm-ceo-arrested-after-high-speed-chase-6265619,7850796
www.ndtv.com,People,5,https://www.ndtv.com/world-news/imane-khelif-boxer-in-gender-row-and-now-olympic-champion-6304776,4710407
www.ndtv.com,People,6,https://www.ndtv.com/world-news/hezbollahs-hassan-nasrallah-the-most-powerful-man-in-lebanon-6604424,5021960
www.ndtv.com,People,7,https://www.ndtv.com/world-news/bangladesh-unrest-nobel-laureate-muhammad-yunus-to-lead-bangladesh-after-shunning-politics-6280701,4454625
www.ndtv.com,People,8,https://www.ndtv.com/people/buddhadeb-bhattacharjee-the-man-who-tried-to-undo-bengal-mess-but-too-late-6290422,7475108
www.ndtv.com,People,9,https://www.ndtv.com/people/yusuf-dikec-paris-olympics-viral-turkish-shooter-had-thought-of-quitting-sport-if-he-won-olympic-gold-6259551,7742515
www.ndtv.com,People,10,https://www.ndtv.com/india-news/ag-noorani-noted-constitutional-expert-lawyer-author-and-more-6446709,7780368
www.ndtv.com,Science,1,https://www.ndtv.com/science/baby-brains-recognise-eye-contact-from-robots-too-new-study-finds-6618998,7681568
www.ndtv.com,Science,2,https://www.ndtv.com/science/lowest-note-ever-nasa-reveals-sound-vibration-near-a-black-hole-250-million-light-years-away-6614997,7396049
www.ndtv.com,Science,3,https://www.ndtv.com/science/scientists-discover-new-blood-group-solve-50-year-old-mystery-6592794,7558325
www.ndtv.com,Science,4,https://www.ndtv.com/science/heat-stress-new-research-shows-lower-threshold-urgent-need-for-action-6619163,8203275
www.ndtv.com,Science,5,https://www.ndtv.com/science/a-120-feet-airplane-sized-asteroid-makes-a-close-flyby-of-earth-6602018,7380263
www.ndtv.com,Science,6,https://www.ndtv.com/science/nearly-40-million-could-die-by-2050-from-antibiotic-resistant-infections-study-6599680,7722019
www.ndtv.com,Science,7,https://www.ndtv.com/science/elon-musks-starlink-satellites-blocking-view-of-the-universe-report-6595679,7808384
www.ndtv.com,Science,8,https://www.ndtv.com/science/sitting-too-much-heres-how-much-exercise-you-need-to-counteract-the-effects-6604680,7570932
www.ndtv.com,Science,9,https://www.ndtv.com/science/asteroid-apophis-massive-asteroids-near-earth-approach-in-2029-but-theres-a-bigger-danger-6592339,8038726
www.ndtv.com,Science,10,https://www.ndtv.com/science/mega-black-hole-in-distant-galaxy-sends-2-jets-of-energy-what-it-means-6600509,8145367
www.ndtv.com,Education,1,https://www.ndtv.com/education/ministry-of-culture-invites-applications-for-various-positions-check-details-6626189,763055
www.ndtv.com,Education,2,https://www.ndtv.com/education/study-in-new-zealand-university-of-auckland-offers-10-000-scholarships-to-international-students-6623780,772802
www.ndtv.com,Education,3,https://www.ndtv.com/education/mp-neet-ug-counselling-2024-choice-filling-window-closes-today-at-official-website-dme-mponline-gov-in-6622439,769491
www.ndtv.com,Education,4,https://www.ndtv.com/education/andhra-pradesh-tet-admit-card-2024-released-at-official-website-aptet-apcfss-in-direct-link-6621808,750507
www.ndtv.com,Education,5,https://www.ndtv.com/education/india-announces-50-quad-scholarships-worth-rs-4-crore-check-details-6623555,778331
www.ndtv.com,Education,6,https://www.ndtv.com/education/study-in-japan-osaka-university-announces-registration-schedule-for-masters-and-phd-programmes-check-scholarship-other-details-6624505,765585
www.ndtv.com,Education,7,https://www.ndtv.com/education/pm-modi-joe-biden-discuss-new-semiconductor-plant-what-it-means-for-future-job-seekers-6624153,750535
www.ndtv.com,Education,8,https://www.ndtv.com/education/indian-coast-guard-jobs-application-begins-for-various-posts-check-salaries-6622808,798176
www.ndtv.com,Education,9,https://www.ndtv.com/education/xat-2025-mock-test-begins-on-september-25-check-key-details-6625486,751842
www.ndtv.com,Education,10,https://www.ndtv.com/education/study-abroad-uk-university-invites-applications-for-mba-in-fashion-business-and-entrepreneurship-6625989,649052
www.ndtv.com,Auto,1,https://www.ndtv.com/auto/bmw-x7-signature-edition-launched-at-rs-1-33-crore-6601772,8107241
www.ndtv.com,Auto,2,https://www.ndtv.com/auto/mg-comet-ev-price-revision-rs-4-99-lakh-zs-ev-rs-13-99-lakh-baas-buyback-6609790,7794400
www.ndtv.com,Auto,3,https://www.ndtv.com/auto/royal-enfield-bullet-350-launched-with-a-new-battalion-black-variant-priced-at-rs-1-75-lakh-6602288,8395298
www.ndtv.com,Auto,4,https://www.ndtv.com/auto/ducati-to-unveil-five-motorcycles-before-the-year-ends-6600331,8461931
www.ndtv.com,Auto,5,https://www.ndtv.com/auto/ultraviolette-f99-superbike-breaks-cover-as-countrys-first-with-huge-claims-6608621,8173319
www.ndtv.com,Auto,6,https://www.ndtv.com/auto/royal-enfield-classic-650-spotted-in-uk-india-launch-soon-6622076,8201343
www.ndtv.com,Auto,7,https://www.ndtv.com/auto/mg-windsor-variant-wise-prices-with-battery-start-at-rs-13-5-lakh-6621803,7686469
www.ndtv.com,Auto,8,https://www.ndtv.com/auto/2025-triumph-speed-twin-1200-rs-and-speed-twin-1200-revealed-6595258,7515274
www.ndtv.com,Auto,9,https://www.ndtv.com/auto/byd-emax-7-india-launch-on-october-8-expected-price-features-range-6600645,7724239
www.ndtv.com,Auto,10,https://www.ndtv.com/auto/maruti-suzuki-wagonr-waltz-edition-launched-at-rs-5-65-lakh-6608461,7662654
www.forbes.com,Aerospace & Defense,1,https://www.forbes.com/sites/pauliddon/2024/10/05/iraqi-militia-drone-attack-on-israeli-troops-echoes-tower-22-incident/?ss=aerospace-defense,5012622
www.forbes.com,Aerospace & Defense,2,https://www.forbes.com/sites/pauliddon/2024/10/04/iran-refuses-to-back-down-as-its-proxies-endure-unprecedented-attacks/?ss=aerospace-defense,3864200
www.forbes.com,Aerospace & Defense,3,https://www.forbes.com/sites/jeremybogaisky/2024/10/03/aerovironment-russia-ukraine-drones/?ss=aerospace-defense,3362987
www.forbes.com,Aerospace & Defense,4,https://www.forbes.com/sites/monicahunter-hart/2024/10/01/how-this-immigrant-billionaire-eren-ozmen-snc-outmaneuvered-boeing-to-build-americas-next-doomsday-nuclear-planes/?ss=aerospace-defense,5226261
www.forbes.com,Aerospace & Defense,5,https://www.forbes.com/sites/tedreed/2024/09/17/how-joe-bidens-right-to-strike-support-enabled-flight-attendant-contract-gains/?ss=aerospace-defense,4876075
www.forbes.com,Aerospace & Defense,6,https://www.forbes.com/sites/davidhambling/2024/10/11/terrifying-human-safari-in-kherson-as-russian-drones-hunt-civilians/?ss=aerospace-defense,5519746
www.forbes.com,Aerospace & Defense,7,https://www.forbes.com/sites/davidaxe/2024/10/10/ukraines-best-fighting-vehicles-attacked-past-veseloe-in-western-russia-and-got-caught-in-a-brutal-ambush/?ss=aerospace-defense,4842029
www.forbes.com,Aerospace & Defense,8,https://www.forbes.com/sites/pauliddon/2024/10/10/iraq-is-substantially-upgrading-its-helicopter-fleet-and-air-defense/?ss=aerospace-defense,4834606
www.forbes.com,Aerospace & Defense,9,https://www.forbes.com/sites/davidhambling/2024/10/10/teams-of-idf-drones-work-together-in-gaza-combat-missions/?ss=aerospace-defense,6063606
www.forbes.com,Aerospace & Defense,10,https://www.forbes.com/sites/davidhambling/2024/10/09/us-navy-eternal-drone-could-signal-the-dawn-of-solar-flight/?ss=aerospace-defense,6253287
www.forbes.com,Law,1,https://www.forbes.com/sites/alexandralevine/2024/10/08/attorneys-general-sue-tiktok-ban/,2975080
www.forbes.com,Law,2,https://www.forbes.com/sites/sergeiklebnikov/2024/09/19/why-this-shadowy-penny-stock-flogger-may-kill-his-own-regulator/,4200059
www.forbes.com,Law,3,https://www.forbes.com/sites/sarahemerson/2024/07/24/bolts-former-billionaire-founder-is-in-legal-trouble---again/,3989662
www.forbes.com,Law,4,https://www.forbes.com/sites/marisagarcia/2024/07/09/why-boeings-guilty-plea-wont-fix-737-max-crisis-of-trust/,7714222
www.forbes.com,Law,5,https://www.forbes.com/sites/zacheverson/2024/07/06/new-jersey-postpones-hearing-on-trumps-liquor-licenses-after-supreme-court-decision/,3124217
www.forbes.com,Law,6,https://www.forbes.com/sites/antoniopequenoiv/2024/09/06/justice-samuel-alito-received-900-concert-tickets-from-german-princess-what-to-know-about-princess-gloria-von-thurn-und-taxis/,7662487
www.forbes.com,Law,7,https://www.forbes.com/sites/tylerroush/2024/09/09/google-facing-lawsuit-over-online-ad-monopoly-today-weeks-after-major-court-loss-heres-what-to-know/,5906413
www.forbes.com,Law,8,https://www.forbes.com/sites/tylerroush/2024/07/09/cellphone-bans-in-schools-grow-virginia-plans-classroom-restrictions/,7618953
www.forbes.com,Law,9,https://www.forbes.com/sites/alisondurkee/2024/10/08/trump-white-house-stopped-fbi-from-fully-investigating-brett-kavanaugh-claims-senate-report-says/,9617700
www.forbes.com,Law,10,https://www.forbes.com/sites/alisondurkee/2024/10/10/trump-fights-to-keep-rest-of-jack-smith-filing-hidden-after-bombshell-evidence-released/,8121134
www.forbes.com,Personal Finance,1,https://www.forbes.com/sites/adamminsky/2024/10/03/judge-transfers-student-loan-forgiveness-lawsuit-in-surprise-win-for-30-million-borrowers/,10278838
www.forbes.com,Personal Finance,2,https://www.forbes.com/sites/howardgleckman/2024/10/08/harris-would-create-a-new-medicare-benefit-for-long-term-care/,10381099
www.forbes.com,Personal Finance,3,https://www.forbes.com/sites/baldwin/2024/10/06/market-lessons-the-peg-ratio-for-growth-the-super-peg-and-20-cheap-stocks/,6287789
www.forbes.com,Personal Finance,4,https://www.forbes.com/sites/robertfarrington/2024/10/03/student-loan-help-for-those-impacted-by-hurricane-helene/,11028696
www.forbes.com,Personal Finance,5,https://www.forbes.com/sites/bobcarlson/2024/09/12/beware-of-financial-imposters-on-whatsapp-other-social-media/,8806158
www.forbes.com,Personal Finance,6,https://www.forbes.com/sites/howardgleckman/2024/09/09/hyper-targeted-tax-breaks-are-a-troubling-campaign-trend/,10592223
www.forbes.com,Personal Finance,7,https://www.forbes.com/sites/adamminsky/2024/09/12/a-big-student-loan-relief-program-ends-in-18-days-and-credit-reports-could-get-hit-after/,10295953
www.forbes.com,Personal Finance,8,https://www.forbes.com/sites/rmiller/2024/10/11/should-gold-be-a-part-of-your-portfolio-part-3/,10326592
www.forbes.com,Personal Finance,9,https://www.forbes.com/sites/jbrewer/2024/10/11/social-values-adjusted-investment-returns-balancing-profit--purpose/,10429881
www.forbes.com,Personal Finance,10,https://www.forbes.com/sites/truetamplin/2024/10/11/where-to-find-financial-aid-after-a-hurricane-and-how-to-apply/,11094170
www.forbes.com,Style & Beauty,1,https://www.forbes.com/sites/amandakooser/2024/08/06/dolce--gabbana-debuts-108-dog-perfume-with-woody-creamy-undertones/?ss=style,6686685
www.forbes.com,Style & Beauty,2,https://www.forbes.com/sites/timlammers/2024/07/23/deadpool--wolverine-scenes-from-the-red-carpet-premiere/?ss=style,4468758
www.forbes.com,Style & Beauty,3,https://www.forbes.com/sites/stephanrabimov/2024/07/22/summer-olympics-2024-10-of-the-most-stylish-uniforms-from-paris-games/?ss=style,5047503
www.forbes.com,Style & Beauty,4,https://www.forbes.com/sites/pamdanziger/2024/07/10/meet-gk-elite-a-little-gymnastics-apparel-brand-ready-to-score-big-at-the-paris-olympics/?ss=style,4252155
www.forbes.com,Style & Beauty,5,https://www.forbes.com/sites/chloeiriskennedy/2024/05/03/everything-you-need-to-know-about-the-2024-met-gala-theme/?ss=style,7078017
www.forbes.com,Style & Beauty,6,https://www.forbes.com/sites/nadjasayej/2024/09/23/opera-is-having-a-moment-in-fashion-and-pop-culture/?ss=style,3419488
www.forbes.com,Style & Beauty,7,https://www.forbes.com/sites/carolrhmalasig/2024/10/10/jimmy-choo-collaborates-anew-with-naoko-takeuchis-sailor-moon/?ss=style,3480555
www.forbes.com,Style & Beauty,8,https://www.forbes.com/sites/beamcmonagle/2024/10/10/kayalis-mona-kattan-continues-her-reign-as-gourmand-guru-with-eden-sparkling-lychee39/?ss=style,4892766
www.forbes.com,Style & Beauty,9,https://www.forbes.com/sites/tiffanyleigh/2024/10/09/trending-fall--winter-capsule-wardrobe-must-haves/?ss=style,3685387
www.forbes.com,Style & Beauty,10,https://www.forbes.com/sites/nadjasayej/2024/10/09/surya-and-the-moon-unveils-green-earth-collection-with-daughters-for-earth/?ss=style,3564139
www.forbes.com,Cybersecurity,1,https://www.forbes.com/sites/thomasbrewster/2024/10/09/apple-sells-privacy-to-consumers-but-its-quietly-helping-police-use-iphones-for-surveillance/?ss=cybersecurity,3641427
www.forbes.com,Cybersecurity,2,https://www.forbes.com/sites/thomasbrewster/2024/10/08/the-wiretap-china-has-infiltrated-police-wiretap-systems/?ss=cybersecurity,3822885
www.forbes.com,Cybersecurity,3,https://www.forbes.com/sites/emilsayegh/2024/10/08/cybersecurity-risks-when-ai-becomes-a-tool-for-evil/?ss=cybersecurity,4686554
www.forbes.com,Cybersecurity,4,https://www.forbes.com/sites/larsdaniel/2024/10/04/hurricane-helena-deepfakes-flooding-social-media-hurt-real-people/?ss=cybersecurity,3900314
www.forbes.com,Cybersecurity,5,https://www.forbes.com/sites/thomasbrewster/2024/10/02/the-wiretap-the-biggest-ddos-attack-ever-didnt-cause-any-noticeable-damage/?ss=cybersecurity,3787497
www.forbes.com,Cybersecurity,6,https://www.forbes.com/sites/zakdoffman/2024/10/11/new-microsoft-windows-10-windows-11-warning-for-2-billion-google-chrome-users/?ss=cybersecurity,5207958
www.forbes.com,Cybersecurity,7,https://www.forbes.com/sites/larsdaniel/2024/10/11/is-your-car-spying-on-you-the-alarming-truth-about-car-data-collection/?ss=cybersecurity,4852748
www.forbes.com,Cybersecurity,8,https://www.forbes.com/sites/tonybradley/2024/10/11/how-ai-is-revolutionizing-customer-experience/?ss=cybersecurity,4765546
www.forbes.com,Cybersecurity,9,https://www.forbes.com/sites/larsdaniel/2024/10/11/tiktok-designed-to-be-an-addiction-machine-targeting-children-says-ag-coleman/?ss=cybersecurity,4767152
www.forbes.com,Cybersecurity,10,https://www.forbes.com/sites/zakdoffman/2024/10/11/apple-ios-18-bad-news-for-google-as-millions-of-iphone-15-iphone-16-users-update/?ss=cybersecurity,5715079
rbc.ru,Real Estate,1,https://realty.rbc.ru/news/66fe78d49a79470a4876aa7b,1604963
rbc.ru,Real Estate,2,https://realty.rbc.ru/news/65eb760a9a79477194147fbd,1230100
rbc.ru,Real Estate,3,https://realty.rbc.ru/news/66fd5a309a79473d3cdb6a0c,1547251
rbc.ru,Real Estate,4,https://realty.rbc.ru/news/66e2b4e79a79471d01f47ed4,1506087
rbc.ru,Real Estate,5,https://realty.rbc.ru/news/66fba9169a7947c7a2f36509,1830370
rbc.ru,Real Estate,6,https://realty.rbc.ru/news/66fab0eb9a79474149580dfa,1575968
rbc.ru,Real Estate,7,https://realty.rbc.ru/news/66fe9ce79a79472c5aac787e,1475593
rbc.ru,Real Estate,8,https://realty.rbc.ru/news/66f650059a79476bc523715c,1680790
rbc.ru,Real Estate,9,https://realty.rbc.ru/news/66fa8fa29a7947228ac53f57,1539964
rbc.ru,Real Estate,10,https://realty.rbc.ru/news/66ee08dd9a7947f8187964c3,2073456
rbc.ru,Wine,1,https://www.rbc.ru/wine/news/66fd13619a7947215bb59c74,12538040
rbc.ru,Wine,2,https://www.rbc.ru/wine/news/66f6c47c9a794777d13d07b7,12710637
rbc.ru,Wine,3,https://www.rbc.ru/wine/news/66fbb7fc9a7947f438b51c75,1563012
rbc.ru,Wine,4,https://www.rbc.ru/wine/news/66faae549a7947498ee5d8b2,12908846
rbc.ru,Wine,5,https://www.rbc.ru/wine/news/66f2a3939a79472109c84e4c,12345221
rbc.ru,Wine,6,https://www.rbc.ru/wine/news/66f246599a79477e16bdd70b,12443977
rbc.ru,Wine,7,https://www.rbc.ru/wine/news/66ec33b89a79476b7b0fa409,12736397
rbc.ru,Wine,8,https://www.rbc.ru/wine/news/66f2b2fb9a7947e21cc4eee7,12796526
rbc.ru,Wine,9,https://www.rbc.ru/wine/news/66f6b8389a794711996d1342,1538499
rbc.ru,Wine,10,https://www.rbc.ru/wine/news/66f284bc9a7947bbea534a89,12780487
rbc.ru,Sports,1,https://sportrbc.ru/news/67015c2c9a7947667fc720b4,3700386
rbc.ru,Sports,2,https://sportrbc.ru/news/670159da9a7947d4167ddd6b,1970864
rbc.ru,Sports,3,https://sportrbc.ru/news/6700f2329a79477c44571700,1428283
rbc.ru,Sports,4,https://sportrbc.ru/news/6700e4109a79478a6c4f1c52,3020139
rbc.ru,Sports,5,https://sportrbc.ru/news/6701441c9a79470f0cdedc06,1987187
rbc.ru,Sports,6,https://sportrbc.ru/news/67011eb49a7947526b47b50f,1503182
rbc.ru,Sports,7,https://sportrbc.ru/news/67013c809a7947a0a932efdd,4131134
rbc.ru,Sports,8,https://sportrbc.ru/news/670100279a794749c8e11f1d,2980250
rbc.ru,Sports,9,https://sportrbc.ru/news/6700fa099a79478866978769,1523234
rbc.ru,Sports,10,https://sportrbc.ru/news/6700f2e69a794717537a8269,2012601
rbc.ru,Discussion Club,1,https://www.rbc.ru/opinions/business/25/07/2024/669a2dce9a7947d98847f6cb,4049298
rbc.ru,Discussion Club,2,https://www.rbc.ru/opinions/economics/18/07/2024/669781cf9a7947a3114b65f2,2644829
rbc.ru,Discussion Club,3,https://www.rbc.ru/opinions/finances/10/07/2024/668e68339a79470b0116200f,10185149
rbc.ru,Discussion Club,4,https://www.rbc.ru/opinions/economics/28/06/2024/667e74859a79471f4ee205b9,2696787
rbc.ru,Discussion Club,5,https://www.rbc.ru/opinions/society/28/06/2024/667becc59a79474d67d56eaf,4015982
rbc.ru,Discussion Club,6,https://www.rbc.ru/opinions/economics/24/06/2024/66740f5a9a79478281f57afc,3258710
rbc.ru,Discussion Club,7,https://www.rbc.ru/opinions/society/07/06/2024/665f1f799a794752b62f9a08,2340459
rbc.ru,Discussion Club,8,https://www.rbc.ru/opinions/business/24/05/2024/664f58109a79472a87f71851,2750915
rbc.ru,Discussion Club,9,https://www.rbc.ru/opinions/society/27/04/2024/662bd52a9a79472655e176ca,2872283
rbc.ru,Discussion Club,10,https://www.rbc.ru/opinions/business/26/04/2024/6628c6c99a7947bad649bfbb,3714274
rbc.ru,Policy,1,https://www.rbc.ru/politics/06/10/2024/6701f6689a7947fd364fe40b,10771638
rbc.ru,Policy,2,https://www.rbc.ru/politics/05/10/2024/670189489a7947316a89dc13,3728831
rbc.ru,Policy,3,https://www.rbc.ru/rbcfreenews/670186849a7947a4159832a3,2467000
rbc.ru,Policy,4,https://www.rbc.ru/politics/06/10/2024/6701debe9a7947ad6c616430,6758400
rbc.ru,Policy,5,https://www.rbc.ru/politics/06/10/2024/6701debe9a7947ad6c616430,3190820
rbc.ru,Policy,6,https://www.rbc.ru/politics/06/10/2024/6701c4e79a7947d847ed2e3b,2675900
rbc.ru,Policy,7,https://www.rbc.ru/rbcfreenews/6701d51a9a79478d4fcae53c,10577640
rbc.ru,Policy,8,https://www.rbc.ru/rbcfreenews/670186849a7947a4159832a3,5120177
rbc.ru,Policy,9,https://www.rbc.ru/politics/05/10/2024/67018aa29a794749b6e91061,2128199
rbc.ru,Policy,10,https://www.rbc.ru/politics/05/10/2024/670178a89a7947fc036993d5,3058182
www.nytimes.com,Style,1,https://www.nytimes.com/2024/10/04/style/target-girl-mom-interview.html,5925598
www.nytimes.com,Style,2,https://www.nytimes.com/2024/10/04/style/mark-zuckerberg-fashion-shirt.html,3836368
www.nytimes.com,Style,3,https://www.nytimes.com/2024/10/04/style/savannah-bananas-schedule.html,5900845
